CBSA,CBSA_NAME,HISPANIC_POP,POPULATION,BUSINESSES
44140,"Springfield, MA",104249,622503,13129
14460,"Boston-Cambridge-Newton, MA-NH",410625,4550079,121730
,,1133602,19021702,420175
38860,"Portland-South Portland, ME",7977,514464,17069
13620,"Berlin, NH-VT",460,39795,1015
25540,"Hartford-West Hartford-East Hartford, CT",151129,1210570,28971
35620,"New York-Newark-Jersey City, NY-NJ-PA",4425823,19561897,549885
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",467262,5950042,143315
45060,"Syracuse, NY",22727,666199,15272
46540,"Utica-Rome, NY",11848,298201,6019
13780,"Binghamton, NY",7573,256697,5162
12860,"Batavia, NY",1650,60819,1346
29540,"Lancaster, PA",44960,519599,12044
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",775936,5642908,142039
12580,"Baltimore-Columbia-Towson, MD",123029,2693238,63933
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",89542,1673611,36767
32300,"Martinsville, VA",3281,72685,1457
34060,"Morgantown, WV",1910,125952,2731
16740,"Charlotte-Concord-Gastonia, NC-SC",202370,2220191,53488
12060,"Atlanta-Sandy Springs-Roswell, GA",547306,5279666,128490
37460,"Panama City, FL",8830,186189,4712
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2313017,5570526,172278
29460,"Lakeland-Winter Haven, FL",109893,606003,10794
46220,"Tuscaloosa, AL",6276,220069,4347
19460,"Decatur, AL",9717,153033,3046
46460,"Union City, TN-KY",1046,38501,823
29860,"Laurel, MS",3308,83558,1571
17140,"Cincinnati, OH-KY-IN",55001,2114645,45265
28340,"Kendallville, IN",4637,46289,883
18220,"Connersville, IN",214,24245,462
40620,"Rolla, MO",951,46916,1123
35380,"New Orleans-Metairie, LA",92212,1190744,29282
19100,"Dallas-Fort Worth-Arlington, TX",1759295,6434860,142392
22380,"Flagstaff, AZ",17726,131131,3298
47460,"Walla Walla, WA",11845,62825,1503
25860,"Hickory-Lenoir-Morganton, NC",23167,363131,7415
11020,"Altoona, PA",1253,129568,3249
40220,"Roanoke, VA",9767,311056,8014
49180,"Winston-Salem, NC",59404,636181,12913
20500,"Durham-Chapel Hill, NC",55830,488100,11335
17900,"Columbia, SC",39248,762700,16648
13820,"Birmingham-Hoover, AL",48229,1132120,25299
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",109422,1675692,38783
25620,"Hattiesburg, MS",4045,148843,3354
14010,"Bloomington, IL",7801,187248,4090
26740,"Hutchinson, KS",5216,63901,1652
36420,"Oklahoma City, OK",141717,1247186,33039
33060,"Miami, OK",1590,39041,687
17020,"Chico, CA",31119,220287,4589
12700,"Barnstable Town, MA",4729,217878,8129
12300,"Augusta-Waterville, ME",1536,128765,3369
17200,"Claremont-Lebanon, NH-VT",3058,217233,6686
32000,"Marion, NC",2388,45323,741
45300,"Tampa-St. Petersburg-Clearwater, FL",452168,2781728,69364
38940,"Port St. Lucie, FL",63603,417439,9609
26090,"Holland, MI",5402,97395,1787
40420,"Rockford, IL",43106,348093,7367
11100,"Amarillo, TX",63277,251261,6051
42220,"Santa Rosa, CA",120528,484213,13067
31940,"Marinette, WI-MI",809,67631,1589
43700,"Somerset, KY",1336,64527,1381
19780,"Des Moines-West Des Moines, IA",38101,571568,14701
26980,"Iowa City, IA",7339,152008,3709
35300,"New Haven-Milford, CT",129811,862597,19304
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",46097,1131503,26755
21900,"Fairmont, WV",530,60659,1274
27340,"Jacksonville, NC",17755,179194,2938
35900,"North Wilkesboro, NC",3642,65591,1241
29300,"LaGrange, GA",2218,69193,1385
37860,"Pensacola-Ferry Pass-Brent, FL",20566,448500,8953
32820,"Memphis, TN-MS-AR",65478,1322256,25151
48940,"Wilmington, OH",590,47054,788
24580,"Green Bay, WI",19222,311436,7561
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1956921,9456569,235882
38060,"Phoenix-Mesa-Scottsdale, AZ",1234015,4180181,84043
40140,"Riverside-San Bernardino-Ontario, CA",1994887,4223606,64770
47620,"Warren, PA",294,40196,871
27260,"Jacksonville, FL",92904,1345357,33500
32940,"Meridian, MS",1655,109415,2371
27060,"Ithaca, NY",4291,102462,2328
42540,"Scranton--Wilkes-Barre--Hazleton, PA",32460,558826,13070
20020,"Dothan, AL",4199,144574,3453
49780,"Zanesville, OH",690,91793,1790
48540,"Wheeling, WV-OH",1056,147295,3415
19820,"Detroit-Warren-Dearborn, MI",167816,4282181,96778
24340,"Grand Rapids-Wyoming, MI",86210,1002047,23410
16300,"Cedar Rapids, IA",6072,257919,6392
19340,"Davenport-Moline-Rock Island, IA-IL",29047,380413,9098
33340,"Milwaukee-Waukesha-West Allis, WI",147624,1562087,37729
36860,"Ottawa-Peru, IL",11932,150679,3603
44860,"Sulphur Springs, TX",5129,34115,719
30980,"Longview, TX",31435,227557,5538
43300,"Sherman-Denison, TX",13872,124346,2504
13060,"Bay City, TX",14074,37035,752
41700,"San Antonio-New Braunfels, TX",1153198,2134702,40504
10740,"Albuquerque, NM",413241,885284,18451
32900,"Merced, CA",140010,254483,2808
44700,"Stockton-Lodi, CA",266224,684518,10691
31700,"Manchester-Nashua, NH",21241,400805,10657
38300,"Pittsburgh, PA",29905,2347598,58993
34340,"Mount Airy, NC",7263,78573,1672
17460,"Cleveland-Elyria, OH",97896,2068322,51325
29020,"Kokomo, IN",2248,83985,1785
39980,"Richmond, IN",1818,69527,1552
29200,"Lafayette-West Lafayette, IN",13994,198718,3859
32100,"Marquette, MI",769,66997,1645
15100,"Brookings, SD",631,31656,842
26700,"Huron, SD",1335,17066,570
27620,"Jefferson City, MO",3173,149722,3509
24260,"Grand Island, NE",14214,81858,2495
12940,"Baton Rouge, LA",27209,794838,17697
41780,"Sandusky, OH",2737,80092,1961
47180,"Vincennes, IN",590,38668,957
10300,"Adrian, MI",7708,102327,1834
15900,"Canton, IL",904,37664,683
46140,"Tulsa, OK",78301,932507,23801
26420,"Houston-The Woodlands-Sugar Land, TX",2097863,5928789,123549
40380,"Rochester, NY",65178,1082795,24127
25180,"Hagerstown-Martinsburg, MD-WV",8990,251366,4951
